,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Archetype,Defensive Role,LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON
20,2024-25,Colin Castleton,24,MEM/TOR/PHI,432,Key Rotation,Athletic Finisher,Mobile Big,0.31,-1.29,-1.33,0.04
21,2024-25,Mark Williams,23,CHO,1171,Key Rotation,Athletic Finisher,Anchor Big,2.63,1.11,-0.01,1.12
22,2024-25,Walker Kessler,23,UTA,1740,Starter,Athletic Finisher,Anchor Big,3.28,0.54,-0.72,1.26
23,2024-25,Christian Braun,23,DEN,2675,Starter,Athletic Finisher,Point of Attack,4.47,0.20,0.44,-0.23
24,2024-25,Oscar Tshiebwe,25,UTA,255,Rotation,Athletic Finisher,Mobile Big,0.56,01.05,0.24,0.81
25,2024-25,Trayce Jackson-Davis,24,GSW,967,Rotation,Athletic Finisher,Mobile Big,1.65,0.27,-0.50,0.77
26,2024-25,Dominick Barlow,21,ATL,375,Rotation,Athletic Finisher,Mobile Big,0.53,-0.21,-0.92,0.72
27,2024-25,Amen Thompson,22,HOU,2225,Starter,Athletic Finisher,Point of Attack,5.64,1.57,-0.19,1.76
28,2024-25,Dereck Lively II,20,DAL,833,Key Rotation,Athletic Finisher,Mobile Big,1.86,01.09,-0.47,1.56
29,2024-25,Olivier-Maxence Prosper,22,DAL,584,Rotation,Athletic Finisher,Helper,0.78,-0.32,-0.40,0.07
30,2024-25,Trey Jemison III,25,NOP/LAL,392,Rotation,Athletic Finisher,Mobile Big,0.32,-1.13,-1.67,0.54
31,2024-25,Donovan Clingan,20,POR,1324,Rotation,Athletic Finisher,Anchor Big,2.75,0.85,-1.31,2.16
32,2024-25,Yves Missi,20,NOP,1956,Key Rotation,Athletic Finisher,Mobile Big,0.05,-2.41,-1.87,-0.53
33,2024-25,Kel'el Ware,20,MIA,1422,Key Rotation,Athletic Finisher,Anchor Big,2.81,0.68,-1.24,1.93
34,2024-25,Oso Ighodaro,22,PHO,1045,Rotation,Athletic Finisher,Mobile Big,0.78,-1.26,-2.12,0.86
35,2024-25,Jonathan Mogbo,23,TOR,1286,Key Rotation,Athletic Finisher,Helper,0.92,-1.30,-2.06,0.76
36,2024-25,DeAndre Jordan,36,DEN,691,Rotation,Athletic Finisher,Mobile Big,0.96,-0.24,-1.65,1.41
37,2024-25,Taj Gibson,39,CHO,409,Rotation,Athletic Finisher,Anchor Big,0.12,-1.99,-2.99,01.01
38,2024-25,Bismack Biyombo,32,SAS,528,Rotation,Athletic Finisher,Mobile Big,0.47,-1.03,-2.66,1.63
39,2024-25,Alex Len,31,SAC/LAL,380,Garbage Time,Athletic Finisher,Mobile Big,0.59,0.02,-1.15,1.17
40,2024-25,Mason Plumlee,34,PHO,1300,Rotation,Athletic Finisher,Anchor Big,2.49,0.59,-1.15,1.74
41,2024-25,Rudy Gobert,32,MIN,2388,Starter,Athletic Finisher,Anchor Big,6.14,1.63,-0.21,1.84
42,2024-25,Steven Adams,31,HOU,795,Rotation,Athletic Finisher,Anchor Big,01.07,-0.32,-0.75,0.43
43,2024-25,Dwight Powell,33,DAL,551,Rotation,Athletic Finisher,Mobile Big,0.57,-0.79,-2.06,1.26
44,2024-25,Clint Capela,30,ATL,1176,Rotation,Athletic Finisher,Anchor Big,02.05,0.32,-0.63,0.95
45,2024-25,Jahlil Okafor,29,IND,3,Too Few Games,Low Minute,Helper,0.00,-0.40,-0.04,-0.36
46,2024-25,Skal Labissiere,28,SAC,12,Too Few Games,Low Minute,Helper,0.02,0.33,0.00,0.32
47,2024-25,Damion Lee,32,PHO,144,Garbage Time,Low Minute,Low Activity,0.23,0.07,0.13,-0.06
48,2024-25,Alex Caruso,30,OKC,1041,Rotation,Low Minute,Wing Stopper,2.68,1.64,0.01,1.64
49,2024-25,Markelle Fultz,26,SAC,184,Garbage Time,Low Minute,Point of Attack,0.19,-0.78,-1.10,0.33
50,2024-25,Tony Bradley,27,IND,113,Garbage Time,Low Minute,Mobile Big,0.15,-0.34,-0.29,-0.05
51,2024-25,PJ Dozier,28,MIN,35,Garbage Time,Low Minute,Chaser,0.04,-0.57,-0.25,-0.32
52,2024-25,Marvin Bagley III,25,WAS/MEM,265,Garbage Time,Low Minute,Anchor Big,0.40,-0.06,-0.16,0.09
53,2024-25,Jevon Carter,29,CHI,321,Garbage Time,Low Minute,Point of Attack,0.51,0.06,0.23,-0.17
54,2024-25,Bruno Fernando,26,TOR,147,Garbage Time,Low Minute,Anchor Big,0.19,-0.43,-0.95,0.53
55,2024-25,Kevin Knox II,25,GSW,84,Garbage Time,Low Minute,Chaser,0.09,-0.66,-0.63,-0.02
56,2024-25,Terence Davis,27,SAC,8,Too Few Games,Low Minute,Point of Attack,0.01,0.34,0.02,0.33
57,2024-25,Jack McVeigh,28,HOU,43,Garbage Time,Low Minute,Chaser,0.05,-0.67,-0.57,-0.10
58,2024-25,Jordan McLaughlin,28,SAC/SAS,314,Garbage Time,Low Minute,Point of Attack,0.44,-0.22,-0.58,0.36
59,2024-25,Jalen McDaniels,27,WAS,7,Too Few Games,Low Minute,Chaser,0.01,0.31,-0.04,0.35
60,2024-25,John Konchar,28,MEM,558,Rotation,Low Minute,Chaser,0.74,-0.35,-1.88,1.53
61,2024-25,James Wiseman,23,IND,5,Too Few Games,Low Minute,Helper,0.01,-0.42,-0.05,-0.37
62,2024-25,Paul Reed,25,DET,436,Garbage Time,Low Minute,Mobile Big,1.14,1.72,-0.95,2.67
63,2024-25,Malachi Flynn,26,CHO,44,Too Few Games,Low Minute,Mobile Big,0.07,-0.01,-0.45,0.44
64,2024-25,Lamar Stevens,27,MEM,155,Garbage Time,Low Minute,Wing Stopper,0.19,-0.51,-0.55,0.04
65,2024-25,Xavier Tillman,26,BOS,231,Garbage Time,Low Minute,Mobile Big,0.08,-1.87,-2.27,0.40
66,2024-25,Mason Jones,26,SAC,45,Garbage Time,Low Minute,Chaser,0.08,0.50,0.15,0.35
67,2024-25,Daishen Nix,22,MIN,13,Too Few Games,Low Minute,Chaser,0.02,-0.45,-0.10,-0.35
68,2024-25,Anthony Gill,32,WAS,397,Garbage Time,Low Minute,Helper,0.08,-2.12,-2.18,0.06
69,2024-25,Kylor Kelley,27,DAL/NOP,126,Too Few Games,Low Minute,Anchor Big,0.16,-0.48,-0.60,0.12
70,2024-25,Braxton Key,27,GSW,11,Too Few Games,Low Minute,Chaser,0.01,-0.62,-0.58,-0.04
71,2024-25,Pat Spencer,28,GSW,250,Garbage Time,Low Minute,Point of Attack,0.28,-0.66,-0.76,0.10
72,2024-25,Matt Ryan,27,NYK,68,Garbage Time,Low Minute,Chaser,0.07,-0.73,-0.52,-0.21
73,2024-25,Josh Christopher,23,MIA,69,Garbage Time,Low Minute,Point of Attack,0.11,-0.02,-0.43,0.41
74,2024-25,Chris Duarte,27,CHI,74,Garbage Time,Low Minute,Chaser,0.12,0.21,-0.07,0.27
75,2024-25,Isaiah Jackson,23,IND,84,Too Few Games,Low Minute,Mobile Big,0.11,-0.40,-0.47,0.06
76,2024-25,David Duke Jr.,25,SAS,34,Too Few Games,Low Minute,Chaser,0.05,-0.14,-0.31,0.17
77,2024-25,Luka Garza,26,MIN,219,Garbage Time,Low Minute,Mobile Big,0.21,-0.90,0.14,-1.04
78,2024-25,Ariel Hukporti,22,NYK,217,Garbage Time,Low Minute,Anchor Big,0.06,-2.03,-2.94,0.91
79,2024-25,Marcus Garrett,26,CHO,79,Too Few Games,Low Minute,Point of Attack,0.11,-0.21,-0.70,0.48
80,2024-25,Isaiah Mobley,25,PHI,17,Too Few Games,Low Minute,Helper,0.03,-0.04,-0.01,-0.04
81,2024-25,E.J. Liddell,24,CHI,53,Garbage Time,Low Minute,Helper,0.08,-0.03,-0.31,0.28
82,2024-25,D.J. Carton,24,TOR,33,Too Few Games,Low Minute,Point of Attack,0.04,-0.47,-0.54,0.08
83,2024-25,Mac McClung,26,ORL,10,Too Few Games,Low Minute,Helper,0.02,0.04,0.22,-0.18
84,2024-25,Stanley Umude,25,MIL,86,Garbage Time,Low Minute,Chaser,0.11,-0.42,-0.75,0.33
85,2024-25,Terry Taylor,25,SAC,6,Too Few Games,Low Minute,Helper,0.01,0.36,0.03,0.33
86,2024-25,MarJon Beauchamp,24,MIL/LAC/NYK,156,Garbage Time,Low Minute,Chaser,0.18,-0.60,-0.62,0.02
87,2024-25,Phillip Wheeler,22,PHI,44,Too Few Games,Low Minute,Helper,0.07,-0.12,-0.08,-0.04
88,2024-25,TyTy Washington Jr.,23,PHO,118,Garbage Time,Low Minute,Chaser,0.19,0.13,0.09,0.03
89,2024-25,Malaki Branham,21,SAS,427,Garbage Time,Low Minute,Low Activity,0.04,-2.29,-1.34,-0.95
90,2024-25,Patrick Baldwin Jr.,22,WAS/LAC,107,Garbage Time,Low Minute,Helper,0.16,-0.06,-0.44,0.38
91,2024-25,JD Davison,22,BOS,93,Garbage Time,Low Minute,Point of Attack,0.10,-0.65,-0.44,-0.21
92,2024-25,Bryce McGowens,22,POR,32,Garbage Time,Low Minute,Chaser,0.05,0.06,-0.01,0.07
93,2024-25,Jamaree Bouyea,25,MIL,62,Too Few Games,Low Minute,Point of Attack,0.08,-0.36,-0.50,0.13
94,2024-25,Harrison Ingram,22,SAS,35,Too Few Games,Low Minute,Helper,0.05,-0.18,-0.46,0.28
95,2024-25,Christian Koloko,24,LAL,342,Garbage Time,Low Minute,Mobile Big,0.28,-1.14,-2.40,1.26
96,2024-25,Leonard Miller,21,MIN,32,Garbage Time,Low Minute,Helper,0.04,-0.44,-0.11,-0.34
97,2024-25,Josh Minott,22,MIN,276,Garbage Time,Low Minute,Helper,0.32,-0.63,-1.20,0.57
98,2024-25,Ron Harper Jr.,24,DET,17,Too Few Games,Low Minute,Chaser,0.03,0.02,0.07,-0.05
99,2024-25,Jacob Toppin,24,NYK/ATL,75,Garbage Time,Low Minute,Helper,0.10,-0.43,-0.48,0.05
100,2024-25,Alondes Williams,25,DET,4,Too Few Games,Low Minute,Point of Attack,0.01,-0.01,0.02,-0.03
101,2024-25,David Roddy,23,ATL/PHI/HOU,410,Rotation,Low Minute,Helper,0.35,-1.09,-1.76,0.68
102,2024-25,Luke Travers,23,CLE,88,Garbage Time,Low Minute,Chaser,0.09,-0.83,-0.62,-0.21
103,2024-25,Justin Minaya,25,POR,101,Garbage Time,Low Minute,Chaser,0.12,-0.50,-0.70,0.20
104,2024-25,Sidy Cissoko,20,SAS/POR,114,Garbage Time,Low Minute,Helper,0.16,-0.20,-0.37,0.17
105,2024-25,Daeqwon Plowden,26,ATL,72,Too Few Games,Low Minute,Chaser,0.09,-0.36,-0.44,0.08
106,2024-25,Taze Moore,26,POR,20,Too Few Games,Low Minute,Point of Attack,0.03,0.18,0.10,0.08
107,2024-25,Nate Williams,25,HOU,147,Garbage Time,Low Minute,Chaser,0.09,-1.45,-1.27,-0.18
108,2024-25,Taylor Hendricks,21,UTA,75,Too Few Games,Low Minute,Point of Attack,0.14,0.47,-0.24,0.71
109,2024-25,Rayan Rupert,20,POR,460,Garbage Time,Low Minute,Point of Attack,-0.05,-2.63,-2.28,-0.34
110,2024-25,Trey Alexander,21,DEN,116,Garbage Time,Low Minute,Point of Attack,0.08,-1.29,-1.14,-0.15
111,2024-25,Emoni Bates,21,CLE,75,Garbage Time,Low Minute,Chaser,0.10,-0.37,-0.03,-0.34
112,2024-25,Kobe Brown,25,LAC,272,Garbage Time,Low Minute,Helper,0.24,-1.06,-1.20,0.14
113,2024-25,Adam Flagler,25,OKC,203,Garbage Time,Low Minute,Point of Attack,0.11,-1.59,-0.41,-1.19
114,2024-25,Bobi Klintman,21,DET,42,Too Few Games,Low Minute,Helper,0.06,-0.03,-0.11,0.09
115,2024-25,Chris Livingston,21,MIL,106,Garbage Time,Low Minute,Helper,0.13,-0.51,-0.69,0.18
116,2024-25,Kevin McCullar Jr.,23,NYK,29,Too Few Games,Low Minute,Wing Stopper,0.04,-0.49,-0.49,0.00
117,2024-25,Adama Sanogo,22,CHI,21,Too Few Games,Low Minute,Mobile Big,0.04,0.16,-0.09,0.26
118,2024-25,Nae'Qwan Tomlin,24,CLE,63,Too Few Games,Low Minute,Helper,0.08,-0.40,-0.11,-0.29
119,2024-25,Jordan Walsh,20,BOS,403,Garbage Time,Low Minute,Low Activity,0.05,-2.25,-2.73,0.48
120,2024-25,Jalen Bridges,23,PHO,30,Too Few Games,Low Minute,Helper,0.05,0.25,0.02,0.24
121,2024-25,Jazian Gortman,21,DAL,57,Garbage Time,Low Minute,Point of Attack,0.08,-0.32,-0.25,-0.07
122,2024-25,PJ Hall,22,DEN,66,Garbage Time,Low Minute,Mobile Big,0.08,-0.60,-0.68,0.09
123,2024-25,Emanuel Miller,24,CHI,25,Too Few Games,Low Minute,Chaser,0.04,0.19,-0.07,0.26
124,2024-25,Tristen Newton,23,IND/MIN,16,Too Few Games,Low Minute,Chaser,0.02,-0.43,-0.06,-0.37
125,2024-25,Drew Peterson,25,BOS,186,Garbage Time,Low Minute,Chaser,0.17,-1.01,-1.11,0.09
126,2024-25,Isaiah Stevens,24,MIA,6,Too Few Games,Low Minute,Wing Stopper,0.01,0.07,-0.21,0.28
127,2024-25,Hunter Tyson,24,DEN,400,Garbage Time,Low Minute,Helper,0.08,-2.13,-1.96,-0.17
128,2024-25,Anton Watson,24,NYK,22,Garbage Time,Low Minute,Helper,0.03,-0.51,-0.40,-0.11
129,2024-25,Liam Robbins,25,MIL,57,Garbage Time,Low Minute,Anchor Big,0.07,-0.56,-0.68,0.11
130,2024-25,Yuri Collins,23,GSW,16,Too Few Games,Low Minute,Chaser,0.02,-0.62,-0.58,-0.04
131,2024-25,Tyler Smith,20,MIL,122,Garbage Time,Low Minute,Mobile Big,0.15,-0.51,-0.59,0.08
132,2024-25,Miles Norris,24,BOS,35,Too Few Games,Low Minute,Helper,0.04,-0.50,-0.33,-0.17
133,2024-25,Jackson Rowe,28,GSW,52,Too Few Games,Low Minute,Helper,0.06,-0.65,-0.64,-0.01
134,2024-25,Johnny Furphy,20,IND,379,Garbage Time,Low Minute,Chaser,0.21,-1.54,-2.17,0.63
135,2024-25,Tyler Kolek,23,NYK,296,Garbage Time,Low Minute,Low Activity,0.34,-0.63,-0.58,-0.05
136,2024-25,Ulrich Chomche,19,TOR,32,Too Few Games,Low Minute,Mobile Big,0.04,-0.43,-0.52,0.09
137,2024-25,Trentyn Flowers,19,LAC,26,Too Few Games,Low Minute,Helper,0.04,-0.34,-0.05,-0.29
138,2024-25,Jaylon Tyson,22,CLE,453,Garbage Time,Low Minute,Chaser,0.17,-1.86,-1.34,-0.52
139,2024-25,Keshad Johnson,23,MIA,98,Garbage Time,Low Minute,Helper,0.14,-0.15,-0.81,0.66
140,2024-25,Cam Christie,19,LAC,59,Garbage Time,Low Minute,Helper,0.08,-0.17,0.05,-0.22
141,2024-25,Bronny James,20,LAL,181,Garbage Time,Low Minute,Point of Attack,0.22,-0.49,-0.49,0.00
142,2024-25,Pacôme Dadiet,19,NYK,111,Garbage Time,Low Minute,Helper,0.10,-0.95,-0.95,0.00
143,2024-25,N'Faly Dante,23,HOU,51,Too Few Games,Low Minute,Mobile Big,0.06,-0.52,-0.68,0.16
144,2024-25,Branden Carlson,25,OKC,246,Garbage Time,Low Minute,Anchor Big,0.34,-0.28,-0.24,-0.04
145,2024-25,Isaiah Crawford,23,SAC,46,Garbage Time,Low Minute,Helper,0.08,0.19,-0.25,0.45
146,2024-25,Cui Yongxi,21,BRK,10,Too Few Games,Low Minute,Chaser,0.02,0.14,-0.10,0.25
147,2024-25,Zyon Pullin,23,MEM,3,Too Few Games,Low Minute,Point of Attack,0.00,-0.22,0.00,-0.22
148,2024-25,Jesse Edwards,24,MIN,5,Too Few Games,Low Minute,Point of Attack,0.01,-0.43,-0.04,-0.39
149,2024-25,Enrique Freeman,24,IND,181,Garbage Time,Low Minute,Mobile Big,0.10,-1.60,-1.37,-0.23
150,2024-25,Isaac Jones,24,SAC,304,Garbage Time,Low Minute,Helper,0.22,-1.27,-1.76,0.49
151,2024-25,Armel Traore,22,LAL,67,Garbage Time,Low Minute,Helper,0.10,-0.05,-0.32,0.27
152,2024-25,Riley Minix,24,SAS,7,Too Few Games,Low Minute,Helper,0.01,-0.07,-0.25,0.18
153,2024-25,Quincy Olivari,23,LAL,10,Too Few Games,Low Minute,Wing Stopper,0.02,0.18,0.13,0.05
154,2024-25,Jahmir Young,24,CHI,30,Too Few Games,Low Minute,Point of Attack,0.05,0.17,-0.12,0.29
155,2024-25,Tolu Smith,24,DET,22,Too Few Games,Low Minute,Mobile Big,0.03,-0.05,-0.06,0.01
156,2024-25,Daniss Jenkins,23,DET,23,Too Few Games,Low Minute,Point of Attack,0.03,-0.01,0.01,-0.02
157,2024-25,Spencer Jones,23,DEN,125,Garbage Time,Low Minute,Point of Attack,0.08,-1.36,-1.38,0.02
158,2024-25,RayJ Dennis,23,IND,70,Garbage Time,Low Minute,Point of Attack,0.10,-0.16,0.09,-0.25
159,2024-25,Malevy Leons,25,OKC,21,Too Few Games,Low Minute,Helper,0.02,-1.27,-0.27,-1.00
160,2024-25,Alex Ducas,24,OKC,125,Garbage Time,Low Minute,Low Activity,0.04,-1.88,-0.89,-0.99
161,2024-25,Yuki Kawamura,23,MEM,93,Garbage Time,Low Minute,Point of Attack,0.13,-0.23,-0.03,-0.19
162,2024-25,P.J. Tucker,39,NYK,58,Too Few Games,Low Minute,Wing Stopper,0.06,-0.85,-0.78,-0.07
163,2024-25,James Johnson,37,IND,37,Garbage Time,Low Minute,Helper,0.04,-0.57,-0.29,-0.27
164,2024-25,Garrett Temple,38,TOR,227,Garbage Time,Low Minute,Chaser,0.22,-0.87,-1.31,0.44
165,2024-25,Tristan Thompson,33,CLE,328,Garbage Time,Low Minute,Mobile Big,0.34,-0.81,-2.26,1.45
166,2024-25,Doug McDermott,33,SAC,342,Garbage Time,Low Minute,Chaser,0.09,-2.04,-1.39,-0.65
167,2024-25,Joe Ingles,37,MIN,114,Garbage Time,Low Minute,Helper,0.10,-1.02,-0.66,-0.36
168,2024-25,Trey Lyles,29,SAC,1349,Rotation,Movement Shooter,Helper,2.28,0.23,-0.34,0.57
169,2024-25,Pat Connaughton,32,MIL,603,Rotation,Movement Shooter,Helper,0.68,-0.66,-0.78,0.12
170,2024-25,Josh Richardson,31,MIA,150,Too Few Games,Movement Shooter,Point of Attack,0.15,-0.84,-0.99,0.14
171,2024-25,Taurean Prince,30,MIL,2166,Starter,Movement Shooter,Chaser,1.53,-1.32,-1.58,0.26
172,2024-25,Georges Niang,31,CLE/ATL,1697,Key Rotation,Movement Shooter,Helper,1.31,-1.22,-0.58,-0.64
173,2024-25,Lonzo Ball,27,CHI,777,Key Rotation,Movement Shooter,Point of Attack,1.60,0.81,0.04,0.77
174,2024-25,Luke Kennard,28,MEM,1472,Key Rotation,Movement Shooter,Low Activity,1.90,-0.40,0.15,-0.55
175,2024-25,OG Anunoby,27,NYK,2706,Starter,Movement Shooter,Wing Stopper,5.55,0.81,0.43,0.37
176,2024-25,Dillon Brooks,29,HOU,2388,Starter,Movement Shooter,Wing Stopper,02.01,-1.10,-0.95,-0.16
177,2024-25,Chris Boucher,32,TOR,862,Rotation,Movement Shooter,Low Activity,1.72,0.72,0.84,-0.12
178,2024-25,Torrey Craig,34,CHI/BOS,314,Garbage Time,Movement Shooter,Helper,0.45,-0.17,-0.37,0.21
179,2024-25,Grayson Allen,29,PHO,1544,Key Rotation,Movement Shooter,Chaser,2.11,-0.27,0.38,-0.66
180,2024-25,Mikal Bridges,28,NYK,3036,Starter,Movement Shooter,Point of Attack,3.78,-0.47,0.26,-0.72
181,2024-25,Kevin Huerter,26,SAC/CHI,1679,Rotation,Movement Shooter,Chaser,2.13,-0.43,-0.41,-0.02
182,2024-25,Cody Martin,29,CHO/PHO,1173,Key Rotation,Movement Shooter,Point of Attack,1.10,-0.96,-1.75,0.79
183,2024-25,De'Anthony Melton,26,GSW,121,Too Few Games,Movement Shooter,Point of Attack,0.15,-0.53,-0.31,-0.22
184,2024-25,Landry Shamet,27,NYK,762,Rotation,Movement Shooter,Chaser,0.07,-2.29,-1.48,-0.81
185,2024-25,Gabe Vincent,28,LAL,1525,Key Rotation,Movement Shooter,Point of Attack,0.48,-1.94,-1.53,-0.41
186,2024-25,DaQuan Jeffries,27,CHO,1071,Key Rotation,Movement Shooter,Helper,-0.32,-2.94,-2.74,-0.20
187,2024-25,Terance Mann,28,LAC/ATL,1414,Rotation,Movement Shooter,Chaser,01.06,-1.25,-0.86,-0.38
188,2024-25,Max Strus,28,CLE,1273,Starter,Movement Shooter,Wing Stopper,1.99,0.04,0.35,-0.31
189,2024-25,Bol Bol,25,PHO,448,Rotation,Movement Shooter,Helper,0.95,0.91,0.25,0.67
190,2024-25,Keldon Johnson,25,SAS,1838,Key Rotation,Movement Shooter,Helper,1.59,-1.07,0.13,-1.20
191,2024-25,Cameron Johnson,28,BRK,1800,Starter,Movement Shooter,Helper,2.57,-0.18,0.95,-1.13
192,2024-25,Naz Reid,25,MIN,2200,Starter,Movement Shooter,Helper,5.27,1.35,0.57,0.78
193,2024-25,Grant Williams,26,CHO,479,Starter,Movement Shooter,Anchor Big,0.40,-1.12,-1.97,0.85
194,2024-25,Patrick Williams,23,CHI,1576,Key Rotation,Movement Shooter,Wing Stopper,0.83,-1.61,-1.57,-0.04
195,2024-25,Isaiah Joe,25,OKC,1604,Key Rotation,Movement Shooter,Low Activity,3.12,0.64,1.17,-0.54
196,2024-25,Vít Krejčí,24,ATL,1153,Rotation,Movement Shooter,Chaser,1.42,-0.49,-0.88,0.39
197,2024-25,Trey Murphy III,24,NOP,1854,Starter,Movement Shooter,Wing Stopper,1.74,-0.95,0.61,-1.57
198,2024-25,Jaden Springer,22,BOS/UTA,365,Garbage Time,Movement Shooter,Point of Attack,0.48,-0.34,-0.69,0.35
199,2024-25,Ziaire Williams,23,BRK,1541,Key Rotation,Movement Shooter,Wing Stopper,1.23,-1.18,-1.22,0.05
200,2024-25,Justin Champagnie,23,WAS,1340,Key Rotation,Movement Shooter,Helper,0.96,-1.30,-1.36,0.05
201,2024-25,Sam Hauser,27,BOS,1541,Rotation,Movement Shooter,Chaser,2.86,0.50,0.27,0.23
202,2024-25,Julian Champagnie,23,SAS,1932,Key Rotation,Movement Shooter,Chaser,1.32,-1.36,-0.55,-0.80
203,2024-25,Santi Aldama,24,MEM,1660,Starter,Movement Shooter,Helper,3.87,1.25,1.17,0.08
204,2024-25,Gui Santos,22,GSW,762,Rotation,Movement Shooter,Helper,0.61,-1.17,-1.25,0.08
205,2024-25,Tyson Etienne,25,BRK,151,Too Few Games,Movement Shooter,Point of Attack,0.18,-0.57,-0.35,-0.22
206,2024-25,A.J. Lawson,24,TOR,486,Rotation,Movement Shooter,Point of Attack,0.57,-0.57,-0.17,-0.40
207,2024-25,Dru Smith,27,MIA,268,Rotation,Movement Shooter,Point of Attack,0.30,-0.65,-1.59,0.94
208,2024-25,Keegan Murray,24,SAC,2610,Starter,Movement Shooter,Wing Stopper,3.30,-0.44,-0.72,0.28
209,2024-25,Max Christie,21,LAL/DAL,2127,Key Rotation,Movement Shooter,Point of Attack,1.44,-1.37,-1.22,-0.15
210,2024-25,Wendell Moore Jr.,23,DET/CHO,499,Rotation,Movement Shooter,Chaser,0.36,-1.28,-1.46,0.17
211,2024-25,Julian Strawther,22,DEN,1384,Rotation,Movement Shooter,Low Activity,0.46,-1.92,-1.27,-0.65
212,2024-25,Keon Ellis,25,SAC,1948,Key Rotation,Movement Shooter,Point of Attack,3.88,0.71,-0.71,1.42
213,2024-25,Jared Rhoden,25,CHO/TOR,226,Key Rotation,Movement Shooter,Chaser,0.31,-0.30,-0.11,-0.19
214,2024-25,Kris Murray,24,POR,1040,Rotation,Movement Shooter,Helper,0.39,-1.85,-1.67,-0.18
215,2024-25,Tyrese Martin,25,BRK,1315,Key Rotation,Movement Shooter,Chaser,0.41,-1.95,-1.04,-0.91
216,2024-25,Caleb Houstan,22,ORL,788,Rotation,Movement Shooter,Low Activity,0.33,-1.77,-1.35,-0.42
217,2024-25,Jake LaRavia,23,MEM/SAC,1349,Key Rotation,Movement Shooter,Helper,1.56,-0.61,-0.94,0.33
218,2024-25,Vince Williams Jr.,24,MEM,499,Rotation,Movement Shooter,Wing Stopper,0.42,-1.12,-0.76,-0.36
219,2024-25,AJ Green,25,MIL,1659,Key Rotation,Movement Shooter,Chaser,1.22,-1.28,-1.10,-0.18
220,2024-25,Jamal Cain,25,NOP,502,Rotation,Movement Shooter,Wing Stopper,0.25,-1.66,-1.48,-0.18
221,2024-25,Jaylen Sims,26,CHO,112,Too Few Games,Movement Shooter,Helper,0.14,-0.49,-0.72,0.24
222,2024-25,Cole Swider,25,DET/TOR,170,Too Few Games,Movement Shooter,Helper,0.17,-0.83,-0.66,-0.16
223,2024-25,Simone Fontecchio,29,DET,1237,Rotation,Movement Shooter,Low Activity,0.85,-1.35,-1.23,-0.12
224,2024-25,GG Jackson,20,MEM,459,Rotation,Movement Shooter,Helper,0.29,-1.43,-0.38,-1.05
225,2024-25,Cam Whitmore,20,HOU,827,Rotation,Movement Shooter,Low Activity,1.12,-0.30,0.10,-0.40
