nba_id	Player	Seasons	Team	Pos	MPG	LEBRON	O-LEBRON	D-LEBRON	WAR	OffRole	DefRole
203903	Jordan Clarkson	2026	NYK	SG	18.314	-2.052	-0.62	-1.433	0.248	Movement Shooter	Chaser
203914	Gary Harris	2026	MIL	SG	13.893	-2.828	-3.573	0.745	-0.127	Stationary Shooter	Chaser
203924	Jerami Grant	2026	POR	PF	29.299	-0.079	0.604	-0.683	2.011	Shot Creator	Wing Stopper
203932	Aaron Gordon	2026	DEN	PF	27.913	0.533	1.383	-0.849	1.205	Shot Creator	Wing Stopper
203935	Marcus Smart	2026	LAL	SG	28.197	-0.138	-0.988	0.85	2.051	Primary Ball Handler	Point of Attack
203937	Kyle Anderson	2026	UTA/MEM	SF	20.439	0.076	-1.101	1.177	0.78	Shot Creator	Mobile Big
203939	Dwight Powell	2026	DAL	C	13.706	-0.294	-2.05	1.757	0.818	Athletic Finisher	Mobile Big
203944	Julius Randle	2026	MIN	PF	33.385	0.824	1.87	-1.045	4.196	Shot Creator	Helper
203952	Andrew Wiggins	2026	MIA	SF	31.183	0.504	-0.47	0.974	3.189	Shot Creator	Wing Stopper
203954	Joel Embiid	2026	PHI	C	31.182	2.004	2.871	-0.867	2.879	Shot Creator	Anchor Big
203991	Clint Capela	2026	HOU	C	11.865	0.568	-0.949	1.517	1.194	Roll + Cut Big	Mobile Big
203992	Bogdan Bogdanovic	2026	LAC	SG	21.624	-1.033	-0.571	-0.463	0.347	Secondary Ball Handler	Chaser
203994	Jusuf Nurkic	2026	UTA	C	26.416	0.632	-1.034	1.666	2.101	Roll + Cut Big	Mobile Big
203999	Nikola Jokic	2026	DEN	C	34.526	6.908	6.357	0.551	8.791	Shot Creator	Anchor Big
204001	Kristaps Porzingis	2026	ATL/GSW	C	23.908	2.853	2.257	0.595	1.429	Versatile Big	Mobile Big
204456	T.J. Mcconnell	2026	IND	PG	16.837	0.886	0.36	0.527	1.555	Slasher	Low Activity
1626145	Tyus Jones	2026	ORL/DAL	PG	15.838	-0.5	-0.398	-0.103	1.088	Primary Ball Handler	Point of Attack
1626156	D'Angelo Russell	2026	DAL	PG	19.03	-0.45	0.672	-1.122	0.622	Primary Ball Handler	Chaser
1626157	Karl-Anthony Towns	2026	NYK	C	31.236	2.639	1.671	0.968	5.68	Shot Creator	Mobile Big
1626162	Kelly Oubre Jr.	2026	PHI	SF	32.686	-1.783	-1.237	-0.546	0.525	Shot Creator	Wing Stopper
1626164	Devin Booker	2026	PHO	SG	33.342	1.741	2.027	-0.286	3.865	Shot Creator	Helper
1626167	Myles Turner	2026	MIL	C	28.021	0.236	-0.75	0.986	2.605	Stretch Big	Mobile Big
1626171	Bobby Portis	2026	MIL	PF	24.042	-1.613	-0.388	-1.225	0.724	Versatile Big	Helper
1626172	Kevon Looney	2026	NOP	C	13.919	-0.044	-0.632	0.588	0.379	Athletic Finisher	Mobile Big
1626181	Norman Powell	2026	MIA	SG	30.005	1.24	1.107	0.133	3.413	Shot Creator	Chaser
1626204	Larry Nance Jr.	2026	CLE	PF	12.667	-1.156	-1.686	0.529	0.279	Stretch Big	Mobile Big
1626220	Royce O'Neale	2026	PHO	SF	29.345	-1.279	-1.92	0.641	1.299	Movement Shooter	Wing Stopper
1627734	Domantas Sabonis	2026	SAC	C	29.663	1.597	0.983	0.614	1.434	Roll + Cut Big	Mobile Big
1627739	Kris Dunn	2026	LAC	PG	27.717	0	-1.212	1.211	2.521	Primary Ball Handler	Point of Attack
1627741	Buddy Hield	2026	GSW/ATL	SG	17.17	-0.704	-0.359	-0.345	0.849	Movement Shooter	Point of Attack
1627742	Brandon Ingram	2026	TOR	SF	34.02	-0.118	0.247	-0.365	2.896	Shot Creator	Low Activity
1627747	Caris Levert	2026	DET	SG	19.506	-0.839	-1.287	0.448	0.83	Secondary Ball Handler	Chaser
1627750	Jamal Murray	2026	DEN	PG	35.14	1.271	2.985	-1.715	4.606	Shot Creator	Chaser
1627751	Jakob Poeltl	2026	TOR	C	24.904	-0.945	-1.654	0.71	0.613	Roll + Cut Big	Mobile Big
1627759	Jaylen Brown	2026	BOS	SF	34.265	2.03	2.144	-0.113	5.208	Shot Creator	Helper
1627780	Gary Payton Ii	2026	GSW	SG	13.581	0.928	0.658	0.27	1.588	Stretch Big	Chaser
1627783	Pascal Siakam	2026	IND	PF	33.698	0.781	1.788	-1.007	3.563	Shot Creator	Wing Stopper
1627824	Guerschon Yabusele	2026	NYK/CHI	C	12.054	-0.846	-0.927	0.081	0.62	Stationary Shooter	Mobile Big
1627826	Ivica Zubac	2026	LAC	C	30.894	0.819	0.111	0.709	2.733	Post Scorer	Anchor Big
1627827	Dorian Finney-Smith	2026	HOU	PF	16.306	-3.354	-3.045	-0.309	-0.221	Stationary Shooter	Wing Stopper
1627884	Derrick Jones Jr.	2026	LAC	SF	26.295	-0.173	-0.883	0.709	1.017	Stationary Shooter	Point of Attack
1627936	Alex Caruso	2026	OKC	SG	18.533	2.147	0.298	1.85	2.194	Stationary Shooter	Wing Stopper
1628366	Lonzo Ball	2026	CLE	PG	20.793	0.521	-0.614	1.135	1.361	Movement Shooter	Chaser
1628368	De'Aaron Fox	2026	SAS	PG	31.584	1.53	1.107	0.423	4.032	Shot Creator	Point of Attack
1628370	Malik Monk	2026	SAC	SG	21.938	-1.15	0.181	-1.331	0.88	Secondary Ball Handler	Low Activity
1628371	Jonathan Isaac	2026	ORL	PF	10.303	0.656	-1.328	1.983	1.007	Stretch Big	Helper
1628374	Lauri Markkanen	2026	UTA	PF	34.348	1.056	2.053	-0.998	3.182	Off Screen Shooter	Wing Stopper
1628378	Donovan Mitchell	2026	CLE	SG	33.456	3.799	4.199	-0.4	7.165	Shot Creator	Helper
1628379	Luke Kennard	2026	ATL/LAL	SG	20.845	-1.371	-1.037	-0.333	0.794	Off Screen Shooter	Low Activity
1628381	John Collins	2026	LAC	PF	27.742	0.532	-0.249	0.781	2.811	Stationary Shooter	Helper
1628384	Og Anunoby	2026	NYK	PF	33.104	1.402	-0.031	1.433	3.77	Stationary Shooter	Wing Stopper
1628386	Jarrett Allen	2026	CLE	C	27.678	2.431	1.188	1.242	4.238	Roll + Cut Big	Mobile Big
1628389	Bam Adebayo	2026	MIA	C	31.375	2.532	0.873	1.66	5.196	Shot Creator	Mobile Big
1628392	Isaiah Hartenstein	2026	OKC	C	25.639	2.889	0.962	1.928	3.001	Roll + Cut Big	Mobile Big
1628396	Tony Bradley	2026	IND	C	10.954	-1.419	-1.129	-0.29	0.27	Roll + Cut Big	Mobile Big
1628398	Kyle Kuzma	2026	MIL	PF	26.535	-1.796	-0.962	-0.834	0.616	Movement Shooter	Wing Stopper
1628401	Derrick White	2026	BOS	SG	34.371	4.803	2.544	2.259	8.942	Primary Ball Handler	Chaser
1628404	Josh Hart	2026	NYK	SF	30.249	1.607	0.377	1.23	3.781	Stationary Shooter	Wing Stopper
1628415	Dillon Brooks	2026	PHO	SF	30.605	-0.766	-0.044	-0.721	1.621	Shot Creator	Wing Stopper
1628418	Thomas Bryant	2026	CLE	C	10.647	1.18	0.565	0.614	1.07	Stretch Big	Mobile Big
1628436	Luke Kornet	2026	SAS	C	21.897	1.269	-0.211	1.48	2.562	Roll + Cut Big	Anchor Big
1628467	Maxi Kleber	2026	LAL	PF	10.986	-1.643	-2.391	0.748	0.19	Athletic Finisher	Mobile Big
1628960	Grayson Allen	2026	PHO	SG	30.206	0.992	1.832	-0.84	2.486	Primary Ball Handler	Chaser
1628963	Marvin Bagley Iii	2026	WAS/DAL	PF	19.953	0.056	0.586	-0.531	1.416	Roll + Cut Big	Mobile Big
1628969	Mikal Bridges	2026	NYK	SF	33.982	1.907	1.052	0.855	5.676	Movement Shooter	Point of Attack
1628970	Miles Bridges	2026	CHO	PF	31.885	1.001	1.016	-0.015	3.877	Shot Creator	Wing Stopper
1628971	Bruce Brown	2026	DEN	SG	25.082	-1.672	-1.791	0.119	0.753	Stationary Shooter	Point of Attack
1628973	Jalen Brunson	2026	NYK	PG	34.584	1.858	3.579	-1.721	5.243	Shot Creator	Low Activity
1628975	Jevon Carter	2026	CHI/ORL	PG	13.402	0.018	-0.164	0.182	0.624	Movement Shooter	Chaser
1628976	Wendell Carter Jr.	2026	ORL	C	29.72	-0.127	-1.016	0.89	2.477	Stretch Big	Mobile Big
1628978	Donte Divincenzo	2026	MIN	SG	31.186	1.021	0.443	0.578	4.154	Movement Shooter	Chaser
1628983	Shai Gilgeous-Alexander	2026	OKC	PG	33.275	6.203	5.665	0.539	8.955	Shot Creator	Helper
1628988	Aaron Holiday	2026	HOU	PG	13.142	-1.846	-1.261	-0.585	0.192	Secondary Ball Handler	Point of Attack
1628989	Kevin Huerter	2026	CHI/DET	SF	22.294	-0.115	-0.06	-0.055	1.605	Movement Shooter	Chaser
1628991	Jaren Jackson Jr.	2026	MEM/UTA	C	30.305	0.135	-0.949	1.084	2.366	Shot Creator	Helper
1628997	Caleb Martin	2026	DAL	SF	14.709	-0.804	-2.201	1.397	0.777	Stationary Shooter	Point of Attack
1629001	De'Anthony Melton	2026	GSW	PG	22.232	1.275	0.565	0.71	1.667	Primary Ball Handler	Point of Attack
1629004	Svi Mykhailiuk	2026	UTA	SF	23.341	-2.291	-0.829	-1.462	0.118	Movement Shooter	Wing Stopper
1629006	Josh Okogie	2026	HOU	SG	19.398	-0.489	-1.438	0.949	1.34	Stationary Shooter	Wing Stopper
1629008	Michael Porter Jr.	2026	BRK	SF	32.598	0.253	1.733	-1.48	2.662	Off Screen Shooter	Helper
1629011	Mitchell Robinson	2026	NYK	C	19.369	1.952	0.177	1.774	2.357	Athletic Finisher	Mobile Big
1629012	Collin Sexton	2026	CHO/CHI	SG	22.566	-0.267	0.419	-0.686	1.58	Primary Ball Handler	Point of Attack
1629013	Landry Shamet	2026	NYK	SG	22.32	0.763	1.001	-0.238	1.625	Movement Shooter	Chaser
1629014	Anfernee Simons	2026	BOS/CHI	SG	24.944	0.793	1.218	-0.425	2.8	Shot Creator	Low Activity
1629018	Gary Trent Jr.	2026	MIL	SG	22.091	-3.495	-1.643	-1.851	-0.708	Movement Shooter	Chaser
1629020	Jarred Vanderbilt	2026	LAL	PF	18.359	-0.382	-1.642	1.26	1.194	Stationary Shooter	Wing Stopper
1629021	Moritz Wagner	2026	ORL	C	12.385	1.056	1.288	-0.232	0.519	Versatile Big	Mobile Big
1629023	P.J. Washington	2026	DAL	PF	30.948	-0.462	-0.91	0.448	1.626	Shot Creator	Wing Stopper
1629026	Kenrich Williams	2026	OKC	PF	16.014	-0.399	-0.598	0.199	0.847	Stationary Shooter	Helper
1629027	Trae Young	2026	ATL	PG	28.01	1.819	2.602	-0.783	0.752	Primary Ball Handler	Chaser
1629028	Deandre Ayton	2026	LAL	C	27.767	-0.994	-1.499	0.506	1.323	Roll + Cut Big	Mobile Big
1629029	Luka Doncic	2026	LAL	PG	35.377	4.959	5.572	-0.613	7.77	Shot Creator	Helper
1629048	Goga Bitadze	2026	ORL	C	15.828	2.224	-0.18	2.405	1.997	Roll + Cut Big	Mobile Big
1629057	Robert Williams Iii	2026	POR	C	16.348	2.794	-0.354	3.148	2.256	Athletic Finisher	Anchor Big
1629060	Rui Hachimura	2026	LAL	PF	29.37	-2.275	-1.258	-1.016	0.166	Shot Creator	Wing Stopper
1629111	Jock Landale	2026	MEM/ATL	C	22.901	0.213	0.677	-0.464	2.111	Versatile Big	Mobile Big
1629130	Duncan Robinson	2026	DET	SF	28.03	0.724	0.774	-0.05	3.192	Off Screen Shooter	Low Activity
1629216	Gabe Vincent	2026	LAL/ATL	PG	18.749	-2.413	-1.286	-1.128	0.02	Movement Shooter	Point of Attack
1629234	Drew Eubanks	2026	SAC	C	13.218	-0.868	-2.047	1.179	0.487	Roll + Cut Big	Mobile Big
1629599	Amir Coffey	2026	MIL/PHO	SG	10.37	-1.583	-1.833	0.249	0.204	Stationary Shooter	Helper
1629611	Terance Mann	2026	BRK	SG	24.559	-2.158	-1.835	-0.323	0.242	Primary Ball Handler	Point of Attack
1629614	Andrew Nembhard	2026	IND	PG	31.673	0.06	1.154	-1.095	2.351	Primary Ball Handler	Point of Attack
1629618	Jalen Pickett	2026	DEN	SG	17.371	-1.975	-1.224	-0.751	0.211	Secondary Ball Handler	Chaser
1629627	Zion Williamson	2026	NOP	PF	29.508	0.657	1.876	-1.218	2.597	Shot Creator	Helper
1629628	Rj Barrett	2026	TOR	SF	29.586	0.319	0.612	-0.292	1.856	Movement Shooter	Helper
1629630	Ja Morant	2026	MEM	PG	28.425	1.33	1.576	-0.246	1.352	Shot Creator	Low Activity
1629631	De'Andre Hunter	2026	CLE/SAC	SF	26.122	-0.246	0.125	-0.372	1.63	Movement Shooter	Wing Stopper
1629632	Coby White	2026	CHI/CHO	SG	28.03	-0.135	0.9	-1.035	1.306	Shot Creator	Chaser
1629636	Darius Garland	2026	CLE	PG	30.46	0.121	1.503	-1.381	1.282	Primary Ball Handler	Chaser
1629637	Jaxson Hayes	2026	LAL	C	17.228	0.378	-0.475	0.854	1.533	Roll + Cut Big	Anchor Big
1629638	Nickeil Alexander-Walker	2026	ATL	SG	33.093	-0.074	0.24	-0.314	2.919	Primary Ball Handler	Point of Attack
1629639	Tyler Herro	2026	MIA	SG	30.377	-0.279	0.575	-0.854	0.664	Shot Creator	Chaser
1629640	Keldon Johnson	2026	SAS	SF	23.355	0.567	0.751	-0.184	2.661	Movement Shooter	Helper
1629645	Kevin Porter Jr.	2026	MIL	PG	33.518	1.411	1.098	0.313	2.767	Shot Creator	Chaser
1629651	Nic Claxton	2026	BRK	C	29.148	-0.817	-0.654	-0.163	1.617	Roll + Cut Big	Mobile Big
1629652	Luguentz Dort	2026	OKC	SF	27.888	-0.728	-1.259	0.531	1.541	Stationary Shooter	Point of Attack
1629655	Daniel Gafford	2026	DAL	C	21.341	-0.411	-2.126	1.715	1.177	Roll + Cut Big	Mobile Big
1629656	Quentin Grimes	2026	PHI	SG	29.455	-0.624	-0.281	-0.343	1.827	Shot Creator	Chaser
1629661	Cameron Johnson	2026	DEN	SF	30.82	-0.904	-0.174	-0.73	1.109	Movement Shooter	Helper
1629673	Jordan Poole	2026	NOP	PG	24.473	-0.617	1.244	-1.861	0.931	Primary Ball Handler	Low Activity
1629674	Neemias Queta	2026	BOS	C	24.924	3.455	0.563	2.892	5.239	Roll + Cut Big	Anchor Big
1629675	Naz Reid	2026	MIN	C	26.277	1.795	0.276	1.519	4.206	Movement Shooter	Helper
1629684	Grant Williams	2026	CHO	PF	19.839	0.492	-0.191	0.683	0.698	Movement Shooter	Helper
1629723	John Konchar	2026	MEM/UTA	SG	16.025	0.287	-1.587	1.874	1.049	Stationary Shooter	Helper
1629731	Dean Wade	2026	CLE	PF	22.639	0.967	-0.383	1.35	2.337	Movement Shooter	Helper
1629750	Javonte Green	2026	DET	SG	18.148	0.561	-1.294	1.855	2.029	Stationary Shooter	Helper
1630162	Anthony Edwards	2026	MIN	SG	35.635	1.627	2.74	-1.113	4.659	Shot Creator	Chaser
1630163	Lamelo Ball	2026	CHO	PG	27.587	2.767	3.116	-0.35	4.599	Primary Ball Handler	Low Activity
1630166	Deni Avdija	2026	POR	SF	33.498	1.986	2.465	-0.479	4.481	Shot Creator	Helper
1630168	Onyeka Okongwu	2026	ATL	C	31.424	0.514	-1.016	1.531	3.283	Stationary Shooter	Mobile Big
1630170	Devin Vassell	2026	SAS	SG	30.658	-0.651	0.152	-0.803	1.631	Movement Shooter	Chaser
1630171	Isaac Okoro	2026	CHI	SG	26.711	-2.3	-1.389	-0.911	0.141	Stationary Shooter	Wing Stopper
1630172	Patrick Williams	2026	CHI	PF	19.535	-2.444	-2.027	-0.418	0.014	Stationary Shooter	Wing Stopper
1630173	Precious Achiuwa	2026	SAC	C	21.296	-0.531	-1.189	0.658	1.388	Athletic Finisher	Wing Stopper
1630174	Aaron Nesmith	2026	IND	SF	30.045	-0.543	-0.013	-0.529	1.19	Off Screen Shooter	Chaser
1630175	Cole Anthony	2026	MIL	PG	15.047	-1.955	-1.867	-0.087	0.166	Primary Ball Handler	Point of Attack
1630178	Tyrese Maxey	2026	PHI	PG	38.498	3.249	3.713	-0.464	7.955	Shot Creator	Chaser
1630180	Saddiq Bey	2026	NOP	SF	30.74	0.453	2.178	-1.725	3.089	Shot Creator	Helper
1630182	Josh Green	2026	CHO	SG	16.462	-0.451	-0.948	0.497	0.766	Stationary Shooter	Point of Attack
1630183	Jaden Mcdaniels	2026	MIN	PF	32.265	-0.717	-1.296	0.578	2.075	Athletic Finisher	Point of Attack
1630188	Jalen Smith	2026	CHI	C	20.334	1.554	0.258	1.296	2.355	Stretch Big	Mobile Big
1630191	Isaiah Stewart	2026	DET	C	23.248	0.313	-0.956	1.268	1.94	Stretch Big	Mobile Big
1630192	Zeke Nnaji	2026	DEN	PF	12.428	-1.469	-2.123	0.654	0.323	Stretch Big	Helper
1630193	Immanuel Quickley	2026	TOR	PG	32.55	2.153	1.94	0.212	5.362	Primary Ball Handler	Point of Attack
1630194	Paul Reed	2026	DET	C	13.543	2.091	0.072	2.02	1.7	Roll + Cut Big	Mobile Big
1630198	Isaiah Joe	2026	OKC	SG	21.415	1.792	1.463	0.328	3.026	Movement Shooter	Chaser
1630200	Tre Jones	2026	CHI	PG	26.487	0.947	0.926	0.021	2.491	Slasher	Point of Attack
1630202	Payton Pritchard	2026	BOS	PG	32.545	2.616	2.739	-0.122	6.099	Primary Ball Handler	Chaser
1630208	Nick Richards	2026	PHO/CHI	C	12.148	-0.407	-1.18	0.773	0.578	Roll + Cut Big	Mobile Big
1630217	Desmond Bane	2026	ORL	SG	34.179	1.222	0.934	0.288	4.658	Primary Ball Handler	Chaser
1630224	Jalen Green	2026	PHO	SG	20.138	-0.076	0.984	-1.06	0.361	Shot Creator	Chaser
1630228	Jonathan Kuminga	2026	GSW/ATL	PF	24.161	-0.309	-0.386	0.078	0.749	Shot Creator	Wing Stopper
1630230	Naji Marshall	2026	DAL	SF	29.8	-0.451	0.315	-0.766	2.173	Stationary Shooter	Wing Stopper
1630241	Sam Merrill	2026	CLE	SG	25.762	0.483	1.144	-0.661	1.807	Movement Shooter	Chaser
1630245	Ayo Dosunmu	2026	CHI/MIN	SG	26.311	-0.962	0.117	-1.079	1.305	Primary Ball Handler	Point of Attack
1630249	Vit Krejci	2026	ATL/POR	PG	22.127	-0.992	-1.387	0.395	1.177	Movement Shooter	Chaser
1630264	Anthony Gill	2026	WAS	PF	11.577	-1.765	-2.245	0.48	0.171	Athletic Finisher	Anchor Big
1630311	Pat Spencer	2026	GSW	PG	16.74	-0.912	-0.371	-0.541	0.713	Primary Ball Handler	Chaser
1630314	Brandon Williams	2026	DAL	PG	22.289	1.223	0.959	0.264	2.678	Slasher	Point of Attack
1630526	Jeremiah Robinson-Earl	2026	IND/DAL	PF	16.392	-1.205	-0.668	-0.538	0.283	Movement Shooter	Helper
1630529	Herbert Jones	2026	NOP	SF	28.891	0.196	-0.787	0.984	1.876	Stationary Shooter	Point of Attack
1630530	Trey Murphy Iii	2026	NOP	SF	35.55	1.037	2.057	-1.02	4.134	Secondary Ball Handler	Helper
1630532	Franz Wagner	2026	ORL	SF	31.824	1.872	1.846	0.026	2.42	Shot Creator	Wing Stopper
1630533	Ziaire Williams	2026	BRK	SF	22.808	-1.202	-1.809	0.607	0.753	Movement Shooter	Wing Stopper
1630534	Ochai Agbaji	2026	TOR/BRK	SG	15.518	-1.88	-1.885	0.004	0.275	Movement Shooter	Chaser
1630536	Sharife Cooper	2026	WAS	PG	16.289	-2.105	-1.614	-0.491	0.065	Shot Creator	Point of Attack
1630538	Bones Hyland	2026	MIN	PG	14.759	1.694	1.29	0.405	2	Primary Ball Handler	Point of Attack
1630540	Miles Mcbride	2026	NYK	SG	28.018	1.072	1.308	-0.236	2.173	Secondary Ball Handler	Point of Attack
1630541	Moses Moody	2026	GSW	SG	25.528	0.239	-0.221	0.46	2.506	Movement Shooter	Chaser
1630543	Isaiah Jackson	2026	IND/LAC	C	15.894	-0.158	-1.227	1.07	0.94	Roll + Cut Big	Mobile Big
1630544	Tre Mann	2026	CHO	PG	15.355	-0.933	-0.537	-0.396	0.586	Secondary Ball Handler	Low Activity
1630545	Terrence Shannon Jr.	2026	MIN	SG	12.412	-2.572	-1.769	-0.803	-0.02	Stationary Shooter	Chaser
1630549	Day'Ron Sharpe	2026	BRK	C	18.725	0.686	-0.763	1.449	2.143	Roll + Cut Big	Mobile Big
1630551	Justin Champagnie	2026	WAS	SF	19.115	-0.724	-0.233	-0.491	1.121	Movement Shooter	Helper
1630552	Jalen Johnson	2026	ATL	SF	35.121	1.593	1.024	0.568	4.91	Shot Creator	Helper
1630557	Corey Kispert	2026	WAS/ATL	SF	20.316	-0.727	0.419	-1.146	0.903	Off Screen Shooter	Chaser
1630558	Davion Mitchell	2026	MIA	PG	28.65	-0.142	-1.027	0.885	2.08	Shot Creator	Point of Attack
1630559	Austin Reaves	2026	LAL	SG	33.235	1.967	2.339	-0.372	3.136	Shot Creator	Chaser
1630560	Cam Thomas	2026	BRK/MIL	SG	22.808	-1.052	0.66	-1.712	0.662	Shot Creator	Low Activity
1630567	Scottie Barnes	2026	TOR	PF	34.182	2.434	0.689	1.745	6.075	Shot Creator	Wing Stopper
1630568	Luka Garza	2026	BOS	C	15.408	0.802	1.005	-0.202	1.577	Stretch Big	Mobile Big
1630570	Trendon Watford	2026	PHI	PF	15.935	-1.781	-1.37	-0.411	0.25	Shot Creator	Helper
1630572	Sandro Mamukelashvili	2026	TOR	C	22.127	1.429	0.726	0.703	3.131	Stationary Shooter	Mobile Big
1630573	Sam Hauser	2026	BOS	PF	24.421	1.087	0.553	0.534	3.098	Movement Shooter	Helper
1630577	Julian Champagnie	2026	SAS	SF	27.827	1.527	-0.123	1.65	4.176	Movement Shooter	Helper
1630578	Alperen Sengun	2026	HOU	C	33.755	0.968	0.803	0.165	3.775	Shot Creator	Mobile Big
1630579	Jericho Sims	2026	MIL	C	16.908	-3.001	-3.525	0.524	-0.25	Athletic Finisher	Helper
1630581	Josh Giddey	2026	CHI	PG	31.18	0.463	1.014	-0.551	2.286	Primary Ball Handler	Helper
1630583	Santi Aldama	2026	MEM	PF	27.862	-0.204	-0.055	-0.149	1.693	Movement Shooter	Helper
1630587	Isaiah Livers	2026	PHO	PF	10.331	-1.75	-2.252	0.502	0.147	Stationary Shooter	Helper
1630591	Jalen Suggs	2026	ORL	PG	26.101	2.191	0.835	1.356	2.738	Primary Ball Handler	Point of Attack
1630592	Jalen Wilson	2026	BRK	PF	14.072	-1.409	-1.644	0.235	0.36	Movement Shooter	Helper
1630595	Cade Cunningham	2026	DET	PG	35.011	5.859	4.109	1.75	9.438	Shot Creator	Chaser
1630596	Evan Mobley	2026	CLE	PF	32.634	2.394	0.993	1.401	4.662	Shot Creator	Mobile Big
1630598	Aaron Wiggins	2026	OKC	SG	23.368	0.179	-0.647	0.826	1.817	Movement Shooter	Helper
1630611	Gui Santos	2026	GSW	PF	16.264	0.577	-0.6	1.177	1.518	Movement Shooter	Helper
1630619	Moussa Cisse	2026	DAL	C	12.012	0.429	-1.913	2.342	0.718	Roll + Cut Big	Mobile Big
1630631	Jose Alvarado	2026	NOP/NYK	PG	21.517	-0.73	-0.11	-0.62	1.164	Primary Ball Handler	Chaser
1630643	Jay Huff	2026	IND	C	20.399	0.193	-1.046	1.239	2.07	Stretch Big	Mobile Big
1630679	Ethan Thompson	2026	IND	SG	16.469	-1.169	-1.493	0.324	0.305	Movement Shooter	Chaser
1630692	Jordan Goodwin	2026	PHO	PG	22.342	1.592	0.744	0.847	3.066	Movement Shooter	Chaser
1630695	Micah Potter	2026	IND	C	19.903	-0.344	-0.794	0.45	0.738	Stretch Big	Mobile Big
1630696	Dru Smith	2026	MIA	SG	16.72	1.136	-0.704	1.84	2.226	Shot Creator	Point of Attack
